,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
538,Cubicolor,Now You Know,142767,2020-06-15 12:30:00,0.742,0.877,9,-6.054,0,0.0625,0.0588,0.0,0.0561,0.706,114.021,7tdvs2ZRY4kmkqCPvF5MMG,4
539,Metno,Tack,155295,2020-06-15 12:32:00,0.734,0.764,1,-10.757,1,0.0631,0.304,0.0,0.454,0.977,160.005,1ZqKCseNe8FIZRDyl2E2Ac,4
540,Kaskade,Find Love,264677,2020-06-15 12:37:00,0.553,0.492,8,-10.353,1,0.32,0.384,0.0,0.159,0.23,130.946,47cRQpbPqxduNAsjodppRF,4
541,Kasbo,Lay It On Me (feat. Keiynan Lonsdale),224412,2020-06-15 12:41:00,0.488,0.895,8,-3.425,1,0.284,0.01,1.65e-05,0.754,0.581,185.769,2ToM5oaSSOQjgaMogZncaE,4
542,Elon “EDM” Musk,Don’t Doubt ur Vibe,241935,2020-06-15 12:45:00,0.539,0.912,0,-7.828,1,0.0319,0.0069,0.717,0.239,0.247,123.996,6GGODyP2LIdbxIfYxy5UbN,4
543,Stefan Biniak,"Read All About It, Pt. III",194574,2020-06-15 12:48:00,0.634,0.44,2,-7.186,1,0.025,0.82,3.9e-06,0.0926,0.337,98.044,0FRcdft6ABgbT1fX6smwkm,4
544,Jai Wolf,Indian Summer - Kasbo Remix,256090,2020-06-15 12:53:00,0.517,0.637,2,-7.919,1,0.0388,0.0703,0.658,0.117,0.14,89.957,54lrEJWx2h6DHMDd1ihwVK,4
545,Sons Of Maria,Release Me,201650,2020-06-15 12:57:00,0.621,0.923,2,-3.124,0,0.0321,0.00645,7.28e-05,0.108,0.716,127.973,4LiJE6pqgsTX3FtukW6bNh,4
548,Chace,Us,3029,2020-06-16 08:27:00,0.416,0.925,3,-3.872,0,0.07,0.000123,0.000907,0.135,0.219,135.037,2N6OKoPGG9UzBoYDxw3b3j,4
551,Liam Payne,Strip That Down (feat. Quavo),171188,2020-06-16 08:33:00,0.873,0.495,6,-5.446,1,0.0518,0.199,0.0,0.0805,0.546,106.033,29JrmE89KgRyCxBIzq2Ocw,4
553,Marshmello,Proud,12740,2020-06-16 08:36:00,0.521,0.716,0,-4.999,1,0.0364,0.0372,0.0,0.148,0.12,77.562,4YXKVaWzHaVyDq2pVS5cgR,4
557,3LAU,Better With You - Kastra & twoDB Remix,178064,2020-06-16 14:36:00,0.563,0.85,3,-4.79,1,0.0845,0.0349,0.0,0.107,0.458,123.969,6Sw0DXMinATz4FTYaO9MxS,4
558,Paige,Always On Your Mind,177211,2020-06-16 14:40:00,0.223,0.821,2,-5.475,0,0.0436,0.00657,0.00124,0.093,0.235,154.901,0Mzt2oHbATAQKod8aAu3WU,3
559,Young Bombs,Don't Let Them,147999,2020-06-16 14:43:00,0.738,0.509,6,-7.891,1,0.0757,0.0431,0.0121,0.109,0.428,78.325,65fge3h3QefDDS5YMz37rv,4
