,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hands,0.516,0.878,7,-3.337,1,0.0678,0.0495,0,0.284,0.529,159.941,audio_features,3J5Y7xgF26vz8Gn4FP8MDV,spotify:track:3J5Y7xgF26vz8Gn4FP8MDV,https://api.spotify.com/v1/tracks/3J5Y7xgF26vz8Gn4FP8MDV,https://api.spotify.com/v1/audio-analysis/3J5Y7xgF26vz8Gn4FP8MDV,201438,4
Love Me Like You Do,0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.323,95.013,audio_features,0Cy7wt6IlRfBPHXXjmZbcP,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/tracks/0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/audio-analysis/0Cy7wt6IlRfBPHXXjmZbcP,253520,4
On Accident,0.774,0.819,1,-3.535,1,0.0946,0.107,0,0.38,0.703,115.966,audio_features,2ZLQKqnGdFRf1I477eP1e1,spotify:track:2ZLQKqnGdFRf1I477eP1e1,https://api.spotify.com/v1/tracks/2ZLQKqnGdFRf1I477eP1e1,https://api.spotify.com/v1/audio-analysis/2ZLQKqnGdFRf1I477eP1e1,202003,4
Feel Good (Summit),0.635,0.664,5,-6.233,0,0.08,0.0503,0,0.119,0.587,91.676,audio_features,3YQc51JSm1HUAQrRcLSebk,spotify:track:3YQc51JSm1HUAQrRcLSebk,https://api.spotify.com/v1/tracks/3YQc51JSm1HUAQrRcLSebk,https://api.spotify.com/v1/audio-analysis/3YQc51JSm1HUAQrRcLSebk,224425,4
Trombone,0.864,0.795,8,-3.461,1,0.118,0.115,0.00519,0.267,0.665,126.018,audio_features,3vYP0NDCcoPiUHpmtq9YIq,spotify:track:3vYP0NDCcoPiUHpmtq9YIq,https://api.spotify.com/v1/tracks/3vYP0NDCcoPiUHpmtq9YIq,https://api.spotify.com/v1/audio-analysis/3vYP0NDCcoPiUHpmtq9YIq,166441,4
Hotel Room Service,0.851,0.629,1,-8.385,1,0.175,0.00705,0.000372,0.0746,0.789,125.984,audio_features,6Rb0ptOEjBjPPQUlQtQGbL,spotify:track:6Rb0ptOEjBjPPQUlQtQGbL,https://api.spotify.com/v1/tracks/6Rb0ptOEjBjPPQUlQtQGbL,https://api.spotify.com/v1/audio-analysis/6Rb0ptOEjBjPPQUlQtQGbL,237640,4
Standing On All Threes - Kav Verhouzer Remix,0.719,0.761,6,-4.601,1,0.0488,0.405,0.0042,0.0918,0.863,105.029,audio_features,6LSy1ZXUqMnqkgjpqfmYKQ,spotify:track:6LSy1ZXUqMnqkgjpqfmYKQ,https://api.spotify.com/v1/tracks/6LSy1ZXUqMnqkgjpqfmYKQ,https://api.spotify.com/v1/audio-analysis/6LSy1ZXUqMnqkgjpqfmYKQ,205320,4
Babylon,0.51,0.71,5,-6.891,0,0.113,0.629,0,0.0607,0.367,131.891,audio_features,6Aj2H0Z0v0JgnSfPEwCgW0,spotify:track:6Aj2H0Z0v0JgnSfPEwCgW0,https://api.spotify.com/v1/tracks/6Aj2H0Z0v0JgnSfPEwCgW0,https://api.spotify.com/v1/audio-analysis/6Aj2H0Z0v0JgnSfPEwCgW0,234285,4
Beside You (feat. Georgia Ku),0.634,0.794,6,-6.363,1,0.0945,0.0801,0,0.0664,0.67,123.02,audio_features,6Tdy6tOHVEyBmlObZpGJJc,spotify:track:6Tdy6tOHVEyBmlObZpGJJc,https://api.spotify.com/v1/tracks/6Tdy6tOHVEyBmlObZpGJJc,https://api.spotify.com/v1/audio-analysis/6Tdy6tOHVEyBmlObZpGJJc,176640,4
Savannah,0.653,0.779,0,-3.133,1,0.0392,0.372,1.39e-06,0.0392,0.387,108.074,audio_features,0ZdUHFxifUJNqo7G4aJzoF,spotify:track:0ZdUHFxifUJNqo7G4aJzoF,https://api.spotify.com/v1/tracks/0ZdUHFxifUJNqo7G4aJzoF,https://api.spotify.com/v1/audio-analysis/0ZdUHFxifUJNqo7G4aJzoF,208698,4
