,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
880,Rich Love (with Seeb),2020-07-03 03:38,OneRepublic,Rich Love (with Seeb),201256,2020-07-03 03:38:00,0.401,0.872,1,-3.641,0,0.314,0.167,0.0,0.362,0.472,104.592,audio_features,7dOeiXeTSfA1ixaYmQcWu7,spotify:track:7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/tracks/7dOeiXeTSfA1ixaYmQcWu7,https://api.spotify.com/v1/audio-analysis/7dOeiXeTSfA1ixaYmQcWu7,201257,4
881,TOOTIMETOOTIMETOOTIME,2020-07-03 03:45,The 1975,TOOTIMETOOTIMETOOTIME,207851,2020-07-03 03:45:00,0.667,0.823,8,-5.867,1,0.0666,0.177,0.0161,0.0933,0.517,114.998,audio_features,33DzKnwuBE6lfOiADwzd5E,spotify:track:33DzKnwuBE6lfOiADwzd5E,https://api.spotify.com/v1/tracks/33DzKnwuBE6lfOiADwzd5E,https://api.spotify.com/v1/audio-analysis/33DzKnwuBE6lfOiADwzd5E,207851,4
882,like that,2020-07-03 03:48,Bea Miller,like that,185546,2020-07-03 03:48:00,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,2tudvzsrR56uom6smgOcSf,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
883,The Middle,2020-07-03 03:49,Zedd,The Middle,46256,2020-07-03 03:49:00,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,audio_features,6GG73Jik4jUlQCkKg9JuGO,spotify:track:6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/tracks/6GG73Jik4jUlQCkKg9JuGO,https://api.spotify.com/v1/audio-analysis/6GG73Jik4jUlQCkKg9JuGO,165853,4
884,Wasted,2020-07-05 04:24,Jesse McCartney,Wasted,184146,2020-07-05 04:24:00,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,audio_features,1a7WZZZH7LzyvorhpOJFTe,spotify:track:1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/tracks/1a7WZZZH7LzyvorhpOJFTe,https://api.spotify.com/v1/audio-analysis/1a7WZZZH7LzyvorhpOJFTe,258475,4
885,Rise - Acoustic,2020-07-05 04:28,Jonas Blue,Rise - Acoustic,232650,2020-07-05 04:28:00,0.633,0.401,9,-6.498,1,0.0331,0.361,0.0,0.0968,0.16,113.998,audio_features,4SSS0EPphdDS3CAoVUW05M,spotify:track:4SSS0EPphdDS3CAoVUW05M,https://api.spotify.com/v1/tracks/4SSS0EPphdDS3CAoVUW05M,https://api.spotify.com/v1/audio-analysis/4SSS0EPphdDS3CAoVUW05M,213630,4
886,Ruin My Life,2020-07-05 04:31,Zara Larsson,Ruin My Life,190931,2020-07-05 04:31:00,0.665,0.699,11,-5.265,1,0.0578,0.423,0.0,0.0969,0.585,124.896,audio_features,5tAa8Uaqr4VvA3693mbIhU,spotify:track:5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU,https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU,190932,4
887,Don't Leave Me Alone (feat. Anne-Marie),2020-07-05 04:34,David Guetta,Don't Leave Me Alone (feat. Anne-Marie),183746,2020-07-05 04:34:00,0.659,0.738,4,-5.072,0,0.0477,0.118,0.0,0.115,0.481,127.95,audio_features,2lYTJK94hb0fd1LQtb6Dhk,spotify:track:2lYTJK94hb0fd1LQtb6Dhk,https://api.spotify.com/v1/tracks/2lYTJK94hb0fd1LQtb6Dhk,https://api.spotify.com/v1/audio-analysis/2lYTJK94hb0fd1LQtb6Dhk,183750,4
888,Put Me Back Together (feat. Kiiara),2020-07-05 04:45,Cheat Codes,Put Me Back Together (feat. Kiiara),50531,2020-07-05 04:45:00,0.567,0.644,0,-5.699,1,0.0278,0.0404,5.03e-06,0.0632,0.212,140.038,audio_features,2zLIP4R6Yt3afkyh7uhmar,spotify:track:2zLIP4R6Yt3afkyh7uhmar,https://api.spotify.com/v1/tracks/2zLIP4R6Yt3afkyh7uhmar,https://api.spotify.com/v1/audio-analysis/2zLIP4R6Yt3afkyh7uhmar,223899,4
889,Put Me Back Together (feat. Kiiara),2020-07-06 03:47,Cheat Codes,Put Me Back Together (feat. Kiiara),173561,2020-07-06 03:47:00,0.567,0.644,0,-5.699,1,0.0278,0.0404,5.03e-06,0.0632,0.212,140.038,audio_features,2zLIP4R6Yt3afkyh7uhmar,spotify:track:2zLIP4R6Yt3afkyh7uhmar,https://api.spotify.com/v1/tracks/2zLIP4R6Yt3afkyh7uhmar,https://api.spotify.com/v1/audio-analysis/2zLIP4R6Yt3afkyh7uhmar,223899,4
